split,slice_id,n_gt,n_pred,tp,fp,fn,precision,recall,f1,mean_iou_tp,avg_confidence,infer_time_ms_per_image
test,BraTS20_Training_001_slice_000,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.454
test,BraTS20_Training_001_slice_001,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.454
test,BraTS20_Training_001_slice_002,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.454
test,BraTS20_Training_001_slice_003,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.454
test,BraTS20_Training_001_slice_004,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.454
test,BraTS20_Training_001_slice_005,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.454
test,BraTS20_Training_001_slice_006,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.454
test,BraTS20_Training_001_slice_007,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.454
test,BraTS20_Training_001_slice_008,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.511
test,BraTS20_Training_001_slice_009,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.511
test,BraTS20_Training_001_slice_010,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.511
test,BraTS20_Training_001_slice_011,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.511
test,BraTS20_Training_001_slice_012,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.511
test,BraTS20_Training_001_slice_013,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.511
test,BraTS20_Training_001_slice_014,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.511
test,BraTS20_Training_001_slice_015,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.511
test,BraTS20_Training_001_slice_016,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.699
test,BraTS20_Training_001_slice_017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.699
test,BraTS20_Training_001_slice_018,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.699
test,BraTS20_Training_001_slice_019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.699
test,BraTS20_Training_001_slice_020,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.699
test,BraTS20_Training_001_slice_021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.699
test,BraTS20_Training_001_slice_022,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.699
test,BraTS20_Training_001_slice_023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.699
test,BraTS20_Training_001_slice_024,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.587
test,BraTS20_Training_001_slice_025,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.587
test,BraTS20_Training_001_slice_026,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.587
test,BraTS20_Training_001_slice_027,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.587
test,BraTS20_Training_001_slice_028,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.587
test,BraTS20_Training_001_slice_029,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.587
test,BraTS20_Training_001_slice_030,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.587
test,BraTS20_Training_001_slice_031,2,0,0,0,2,0.0,0.0,0.0,0.0,0.0,6.587
test,BraTS20_Training_001_slice_032,2,0,0,0,2,0.0,0.0,0.0,0.0,0.0,6.555
test,BraTS20_Training_001_slice_033,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,6.555
test,BraTS20_Training_001_slice_034,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,6.555
test,BraTS20_Training_001_slice_035,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,6.555
test,BraTS20_Training_001_slice_036,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,6.555
test,BraTS20_Training_001_slice_037,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,6.555
test,BraTS20_Training_001_slice_038,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,6.555
