threshold,n_images,n_pos_images,n_pred,tp,fp,fn,precision,recall,f1,mean_iou_tp,ap50_thr,ap50_95_thr,map_global_50,map_global_50_95
0.05000,5890,2599,7042,2750,4292,1188,0.390514,0.698324,0.500911,0.792956,0.649989,0.398651,0.670787,0.405620
0.10000,5890,2599,4717,2615,2102,1323,0.554378,0.664043,0.604275,0.800424,0.635788,0.393867,0.670787,0.405620
0.15000,5890,2599,3888,2557,1331,1381,0.657665,0.649314,0.653463,0.803358,0.623637,0.389471,0.670787,0.405620
0.20000,5890,2599,3415,2474,941,1464,0.724451,0.628238,0.672923,0.807426,0.609684,0.384268,0.670787,0.405620
0.25000,5890,2599,3062,2416,646,1522,0.789027,0.613509,0.690286,0.810820,0.602112,0.381373,0.670787,0.405620
0.30000,5890,2599,2831,2368,463,1570,0.836454,0.601320,0.699660,0.813754,0.594187,0.377202,0.670787,0.405620
0.35000,5890,2599,2645,2313,332,1625,0.874480,0.587354,0.702719,0.816326,0.577267,0.371767,0.670787,0.405620
0.40000,5890,2599,2529,2276,253,1662,0.899960,0.577958,0.703881,0.818614,0.568412,0.367586,0.670787,0.405620
0.45000,5890,2599,2405,2228,177,1710,0.926403,0.565769,0.702507,0.821510,0.559350,0.364159,0.670787,0.405620
0.50000,5890,2599,2288,2163,125,1775,0.945367,0.549264,0.694828,0.824779,0.540789,0.357259,0.670787,0.405620
