threshold,n_images,n_pos_images,tp,fp,fn,precision,recall,f1,mean_iou_tp,ap50_thr,ap50_95_thr,map_global_50,map_global_50_95,n_pred
0.05,5890,2599,2750,4292,1188,0.3905140585061062,0.6983240223463687,0.5009107468123862,0.7929560907619275,0.6499893963336945,0.3986506978252736,0.6707872782677117,0.40562044737288855,7042
0.1,5890,2599,2615,2102,1323,0.55437778248887,0.6640426612493652,0.6042749855574813,0.800424164690556,0.6357884235901408,0.3938667883451032,0.6707872782677117,0.40562044737288855,4717
0.15,5890,2599,2557,1331,1381,0.657664609053498,0.6493143727780599,0.653462816253514,0.8033582518551523,0.6236370855038709,0.3894712135121964,0.6707872782677117,0.40562044737288855,3888
0.2,5890,2599,2474,941,1464,0.7244509516837482,0.6282376841036059,0.672922616619067,0.807425834989889,0.6096844625945138,0.38426804599342956,0.6707872782677117,0.40562044737288855,3415
0.25,5890,2599,2416,646,1522,0.7890267798824298,0.6135093956323007,0.6902857142857143,0.8108200558822943,0.6021122053118035,0.3813729539144747,0.6707872782677117,0.40562044737288855,3062
0.3,5890,2599,2368,463,1570,0.8364535499823385,0.601320467242255,0.6996602156891712,0.8137539115864262,0.594186795820104,0.3772015425016974,0.6707872782677117,0.40562044737288855,2831
0.35,5890,2599,2313,332,1625,0.8744801512287335,0.5873539867953276,0.7027191250189883,0.8163257008954726,0.57726652728449,0.37176675916750834,0.6707872782677117,0.40562044737288855,2645
0.4,5890,2599,2276,253,1662,0.8999604586793198,0.5779583544946674,0.7038812432348848,0.8186137294491981,0.5684118259071124,0.36758627156072327,0.6707872782677117,0.40562044737288855,2529
0.45,5890,2599,2228,177,1710,0.9264033264033265,0.5657694261046217,0.702506700299543,0.8215096490255034,0.5593503813932438,0.36415917285450616,0.6707872782677117,0.40562044737288855,2405
0.5,5890,2599,2163,125,1775,0.9453671328671329,0.5492635855764347,0.694828140057822,0.8247787502269496,0.540789271935378,0.35725852365393446,0.6707872782677117,0.40562044737288855,2288
