split,slice_id,n_gt,n_pred,tp,fp,fn,precision,recall,f1,mean_iou_tp,avg_confidence,infer_time_ms_per_image
test,BraTS20_Training_001_slice_000,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.183
test,BraTS20_Training_001_slice_001,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.183
test,BraTS20_Training_001_slice_002,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.183
test,BraTS20_Training_001_slice_003,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.183
test,BraTS20_Training_001_slice_004,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.183
test,BraTS20_Training_001_slice_005,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.183
test,BraTS20_Training_001_slice_006,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.183
test,BraTS20_Training_001_slice_007,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23.183
test,BraTS20_Training_001_slice_008,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.567
test,BraTS20_Training_001_slice_009,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.567
test,BraTS20_Training_001_slice_010,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.567
test,BraTS20_Training_001_slice_011,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.567
test,BraTS20_Training_001_slice_012,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.567
test,BraTS20_Training_001_slice_013,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.567
test,BraTS20_Training_001_slice_014,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.567
test,BraTS20_Training_001_slice_015,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.567
test,BraTS20_Training_001_slice_016,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.965
test,BraTS20_Training_001_slice_017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.965
test,BraTS20_Training_001_slice_018,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.965
test,BraTS20_Training_001_slice_019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.965
test,BraTS20_Training_001_slice_020,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.965
test,BraTS20_Training_001_slice_021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.965
test,BraTS20_Training_001_slice_022,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.965
test,BraTS20_Training_001_slice_023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.965
test,BraTS20_Training_001_slice_024,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.839
test,BraTS20_Training_001_slice_025,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.839
test,BraTS20_Training_001_slice_026,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.839
test,BraTS20_Training_001_slice_027,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.839
test,BraTS20_Training_001_slice_028,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.839
test,BraTS20_Training_001_slice_029,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.839
test,BraTS20_Training_001_slice_030,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.839
test,BraTS20_Training_001_slice_031,2,0,0,0,2,0.0,0.0,0.0,0.0,0.0,5.839
test,BraTS20_Training_001_slice_032,2,0,0,0,2,0.0,0.0,0.0,0.0,0.0,7.869
test,BraTS20_Training_001_slice_033,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,7.869
test,BraTS20_Training_001_slice_034,1,1,1,0,0,1.0,1.0,1.0,0.492046,0.435623,7.869
test,BraTS20_Training_001_slice_035,1,1,1,0,0,1.0,1.0,1.0,0.552697,0.646454,7.869
test,BraTS20_Training_001_slice_036,1,1,1,0,0,1.0,1.0,1.0,0.582437,0.631831,7.869
test,BraTS20_Training_001_slice_037,1,1,1,0,0,1.0,1.0,1.0,0.747386,0.598817,7.869
test,BraTS20_Training_001_slice_038,1,2,1,1,0,0.5,1.0,0.666667,0.740676,0.505109,7.869
test,BraTS20_Training_001_slice_039,1,1,1,0,0,1.0,1.0,1.0,0.73418,0.73602,7.869
test,BraTS20_Training_001_slice_040,1,2,1,1,0,0.5,1.0,0.666667,0.678206,0.484031,6.393
test,BraTS20_Training_001_slice_041,2,1,1,0,1,1.0,0.5,0.666667,0.855889,0.673703,6.393
test,BraTS20_Training_001_slice_042,1,1,1,0,0,1.0,1.0,1.0,0.661366,0.739444,6.393
test,BraTS20_Training_001_slice_043,1,1,1,0,0,1.0,1.0,1.0,0.839467,0.832205,6.393
test,BraTS20_Training_001_slice_044,1,1,1,0,0,1.0,1.0,1.0,0.717395,0.859501,6.393
test,BraTS20_Training_001_slice_045,1,1,1,0,0,1.0,1.0,1.0,0.740354,0.865829,6.393
test,BraTS20_Training_001_slice_046,1,1,1,0,0,1.0,1.0,1.0,0.675419,0.893692,6.393
test,BraTS20_Training_001_slice_047,2,1,1,0,1,1.0,0.5,0.666667,0.56411,0.890198,6.393
test,BraTS20_Training_001_slice_048,1,1,1,0,0,1.0,1.0,1.0,0.89743,0.867281,6.444
test,BraTS20_Training_001_slice_049,3,3,3,0,0,1.0,1.0,1.0,0.701779,0.524464,6.444
test,BraTS20_Training_001_slice_050,3,4,3,1,0,0.75,1.0,0.857143,0.735951,0.556561,6.444
test,BraTS20_Training_001_slice_051,3,4,3,1,0,0.75,1.0,0.857143,0.741232,0.609233,6.444
test,BraTS20_Training_001_slice_052,3,4,3,1,0,0.75,1.0,0.857143,0.690303,0.598295,6.444
test,BraTS20_Training_001_slice_053,2,4,2,2,0,0.5,1.0,0.666667,0.647989,0.501295,6.444
test,BraTS20_Training_001_slice_054,3,6,3,3,0,0.5,1.0,0.666667,0.63219,0.470811,6.444
test,BraTS20_Training_001_slice_055,2,4,1,3,1,0.25,0.5,0.333333,0.744013,0.579677,6.444
test,BraTS20_Training_001_slice_056,2,3,1,2,1,0.333333,0.5,0.4,0.731062,0.704103,6.578
test,BraTS20_Training_001_slice_057,2,4,1,3,1,0.25,0.5,0.333333,0.717973,0.590999,6.578
test,BraTS20_Training_001_slice_058,2,3,2,1,0,0.666667,1.0,0.8,0.601519,0.619137,6.578
test,BraTS20_Training_001_slice_059,2,4,1,3,1,0.25,0.5,0.333333,0.749955,0.539574,6.578
test,BraTS20_Training_001_slice_060,2,1,1,0,1,1.0,0.5,0.666667,0.730593,0.931617,6.578
test,BraTS20_Training_001_slice_061,1,2,1,1,0,0.5,1.0,0.666667,0.749055,0.590909,6.578
test,BraTS20_Training_001_slice_062,1,1,1,0,0,1.0,1.0,1.0,0.778953,0.903253,6.578
test,BraTS20_Training_001_slice_063,2,2,1,1,1,0.5,0.5,0.5,0.784236,0.637115,6.578
test,BraTS20_Training_001_slice_064,1,2,1,1,0,0.5,1.0,0.666667,0.845621,0.662915,5.788
test,BraTS20_Training_001_slice_065,1,2,1,1,0,0.5,1.0,0.666667,0.867153,0.624277,5.788
test,BraTS20_Training_001_slice_066,1,1,1,0,0,1.0,1.0,1.0,0.832608,0.851819,5.788
test,BraTS20_Training_001_slice_067,2,2,1,1,1,0.5,0.5,0.5,0.814076,0.512757,5.788
test,BraTS20_Training_001_slice_068,2,2,1,1,1,0.5,0.5,0.5,0.769137,0.526298,5.788
test,BraTS20_Training_001_slice_069,1,3,1,2,0,0.333333,1.0,0.5,0.768606,0.468993,5.788
test,BraTS20_Training_001_slice_070,1,3,1,2,0,0.333333,1.0,0.5,0.783254,0.481782,5.788
test,BraTS20_Training_001_slice_071,1,2,1,1,0,0.5,1.0,0.666667,0.782146,0.604274,5.788
test,BraTS20_Training_001_slice_072,2,1,1,0,1,1.0,0.5,0.666667,0.801629,0.893502,7.095
test,BraTS20_Training_001_slice_073,2,1,1,0,1,1.0,0.5,0.666667,0.816376,0.903217,7.095
test,BraTS20_Training_001_slice_074,2,1,1,0,1,1.0,0.5,0.666667,0.779125,0.894508,7.095
test,BraTS20_Training_001_slice_075,2,1,1,0,1,1.0,0.5,0.666667,0.776714,0.881791,7.095
test,BraTS20_Training_001_slice_076,3,1,1,0,2,1.0,0.333333,0.5,0.761867,0.884701,7.095
test,BraTS20_Training_001_slice_077,2,1,1,0,1,1.0,0.5,0.666667,0.804003,0.879517,7.095
test,BraTS20_Training_001_slice_078,2,2,1,1,1,0.5,0.5,0.5,0.790255,0.586634,7.095
test,BraTS20_Training_001_slice_079,3,1,1,0,2,1.0,0.333333,0.5,0.767748,0.87965,7.095
test,BraTS20_Training_001_slice_080,3,1,1,0,2,1.0,0.333333,0.5,0.755897,0.860548,6.788
test,BraTS20_Training_001_slice_081,3,1,1,0,2,1.0,0.333333,0.5,0.755522,0.871584,6.788
test,BraTS20_Training_001_slice_082,2,1,1,0,1,1.0,0.5,0.666667,0.764079,0.849143,6.788
test,BraTS20_Training_001_slice_083,2,1,1,0,1,1.0,0.5,0.666667,0.723835,0.841649,6.788
test,BraTS20_Training_001_slice_084,2,1,1,0,1,1.0,0.5,0.666667,0.743963,0.858159,6.788
test,BraTS20_Training_001_slice_085,2,1,1,0,1,1.0,0.5,0.666667,0.691889,0.854591,6.788
test,BraTS20_Training_001_slice_086,2,1,1,0,1,1.0,0.5,0.666667,0.697155,0.862305,6.788
test,BraTS20_Training_001_slice_087,2,1,1,0,1,1.0,0.5,0.666667,0.714382,0.855093,6.788
test,BraTS20_Training_001_slice_088,1,1,1,0,0,1.0,1.0,1.0,0.694551,0.864263,6.52
test,BraTS20_Training_001_slice_089,2,1,1,0,1,1.0,0.5,0.666667,0.728869,0.859895,6.52
test,BraTS20_Training_001_slice_090,2,2,1,1,1,0.5,0.5,0.5,0.749361,0.577096,6.52
test,BraTS20_Training_001_slice_091,2,2,1,1,1,0.5,0.5,0.5,0.749259,0.561394,6.52
test,BraTS20_Training_001_slice_092,1,1,1,0,0,1.0,1.0,1.0,0.747013,0.863173,6.52
test,BraTS20_Training_001_slice_093,1,2,1,1,0,0.5,1.0,0.666667,0.76286,0.557214,6.52
test,BraTS20_Training_001_slice_094,2,1,1,0,1,1.0,0.5,0.666667,0.79509,0.850192,6.52
test,BraTS20_Training_001_slice_095,3,2,1,1,2,0.5,0.333333,0.4,0.771405,0.566185,6.52
test,BraTS20_Training_001_slice_096,1,2,1,1,0,0.5,1.0,0.666667,0.816592,0.573453,6.159
test,BraTS20_Training_001_slice_097,2,1,1,0,1,1.0,0.5,0.666667,0.940768,0.843505,6.159
test,BraTS20_Training_001_slice_098,1,1,1,0,0,1.0,1.0,1.0,0.892558,0.843123,6.159
test,BraTS20_Training_001_slice_099,1,1,1,0,0,1.0,1.0,1.0,0.882247,0.855147,6.159
test,BraTS20_Training_001_slice_100,1,1,1,0,0,1.0,1.0,1.0,0.843384,0.831423,6.159
test,BraTS20_Training_001_slice_101,1,1,1,0,0,1.0,1.0,1.0,0.806639,0.82471,6.159
test,BraTS20_Training_001_slice_102,1,1,1,0,0,1.0,1.0,1.0,0.829407,0.823199,6.159
test,BraTS20_Training_001_slice_103,1,1,1,0,0,1.0,1.0,1.0,0.841315,0.814851,6.159
test,BraTS20_Training_001_slice_104,1,1,1,0,0,1.0,1.0,1.0,0.817819,0.760754,6.936
test,BraTS20_Training_001_slice_105,2,2,1,1,1,0.5,0.5,0.5,0.857327,0.517733,6.936
test,BraTS20_Training_001_slice_106,2,1,1,0,1,1.0,0.5,0.666667,0.86165,0.731877,6.936
test,BraTS20_Training_001_slice_107,1,1,1,0,0,1.0,1.0,1.0,0.863366,0.705144,6.936
test,BraTS20_Training_001_slice_108,1,1,1,0,0,1.0,1.0,1.0,0.803399,0.607643,6.936
test,BraTS20_Training_001_slice_109,1,1,1,0,0,1.0,1.0,1.0,0.753123,0.540717,6.936
test,BraTS20_Training_001_slice_110,1,1,1,0,0,1.0,1.0,1.0,0.732544,0.455501,6.936
test,BraTS20_Training_001_slice_111,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,6.936
test,BraTS20_Training_001_slice_112,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,6.56
test,BraTS20_Training_001_slice_113,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.56
test,BraTS20_Training_001_slice_114,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.56
test,BraTS20_Training_001_slice_115,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.56
test,BraTS20_Training_001_slice_116,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.56
test,BraTS20_Training_001_slice_117,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.56
test,BraTS20_Training_001_slice_118,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.56
test,BraTS20_Training_001_slice_119,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.56
test,BraTS20_Training_001_slice_120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.613
test,BraTS20_Training_001_slice_121,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.613
test,BraTS20_Training_001_slice_122,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.613
test,BraTS20_Training_001_slice_123,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.613
test,BraTS20_Training_001_slice_124,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.613
test,BraTS20_Training_001_slice_125,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.613
test,BraTS20_Training_001_slice_126,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.613
test,BraTS20_Training_001_slice_127,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.613
test,BraTS20_Training_001_slice_128,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.585
test,BraTS20_Training_001_slice_129,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.585
test,BraTS20_Training_001_slice_130,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.585
test,BraTS20_Training_001_slice_131,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.585
test,BraTS20_Training_001_slice_132,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.585
test,BraTS20_Training_001_slice_133,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.585
test,BraTS20_Training_001_slice_134,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.585
test,BraTS20_Training_001_slice_135,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.585
test,BraTS20_Training_001_slice_136,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.384
test,BraTS20_Training_001_slice_137,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.384
test,BraTS20_Training_001_slice_138,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.384
test,BraTS20_Training_001_slice_139,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.384
test,BraTS20_Training_001_slice_140,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.384
test,BraTS20_Training_001_slice_141,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.384
test,BraTS20_Training_001_slice_142,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.384
test,BraTS20_Training_001_slice_143,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.384
test,BraTS20_Training_001_slice_144,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.502
test,BraTS20_Training_001_slice_145,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.502
test,BraTS20_Training_001_slice_146,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.502
test,BraTS20_Training_001_slice_147,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.502
test,BraTS20_Training_001_slice_148,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.502
test,BraTS20_Training_001_slice_149,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.502
test,BraTS20_Training_001_slice_150,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.502
test,BraTS20_Training_001_slice_151,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.502
test,BraTS20_Training_001_slice_152,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.667
test,BraTS20_Training_001_slice_153,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.667
test,BraTS20_Training_001_slice_154,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.667
test,BraTS20_Training_006_slice_000,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.667
test,BraTS20_Training_006_slice_001,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.667
test,BraTS20_Training_006_slice_002,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.667
test,BraTS20_Training_006_slice_003,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.667
test,BraTS20_Training_006_slice_004,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.667
test,BraTS20_Training_006_slice_005,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.951
test,BraTS20_Training_006_slice_006,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.951
test,BraTS20_Training_006_slice_007,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.951
test,BraTS20_Training_006_slice_008,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.951
test,BraTS20_Training_006_slice_009,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.951
test,BraTS20_Training_006_slice_010,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.951
test,BraTS20_Training_006_slice_011,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.951
test,BraTS20_Training_006_slice_012,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.951
test,BraTS20_Training_006_slice_013,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.445
test,BraTS20_Training_006_slice_014,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.445
test,BraTS20_Training_006_slice_015,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.445
test,BraTS20_Training_006_slice_016,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.445
test,BraTS20_Training_006_slice_017,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.445
test,BraTS20_Training_006_slice_018,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.445
test,BraTS20_Training_006_slice_019,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.445
test,BraTS20_Training_006_slice_020,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.445
test,BraTS20_Training_006_slice_021,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.571
test,BraTS20_Training_006_slice_022,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.571
test,BraTS20_Training_006_slice_023,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.571
test,BraTS20_Training_006_slice_024,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.571
test,BraTS20_Training_006_slice_025,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.571
test,BraTS20_Training_006_slice_026,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.571
test,BraTS20_Training_006_slice_027,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.571
test,BraTS20_Training_006_slice_028,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.571
test,BraTS20_Training_006_slice_029,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.692
test,BraTS20_Training_006_slice_030,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.692
test,BraTS20_Training_006_slice_031,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.692
test,BraTS20_Training_006_slice_032,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.692
test,BraTS20_Training_006_slice_033,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.692
test,BraTS20_Training_006_slice_034,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.692
test,BraTS20_Training_006_slice_035,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.692
test,BraTS20_Training_006_slice_036,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.692
test,BraTS20_Training_006_slice_037,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.365
test,BraTS20_Training_006_slice_038,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.365
test,BraTS20_Training_006_slice_039,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.365
test,BraTS20_Training_006_slice_040,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.365
test,BraTS20_Training_006_slice_041,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.365
test,BraTS20_Training_006_slice_042,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.365
test,BraTS20_Training_006_slice_043,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.365
test,BraTS20_Training_006_slice_044,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.365
test,BraTS20_Training_006_slice_045,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.362
test,BraTS20_Training_006_slice_046,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.362
test,BraTS20_Training_006_slice_047,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.362
test,BraTS20_Training_006_slice_048,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.362
test,BraTS20_Training_006_slice_049,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.362
test,BraTS20_Training_006_slice_050,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.362
test,BraTS20_Training_006_slice_051,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.362
test,BraTS20_Training_006_slice_052,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.362
test,BraTS20_Training_006_slice_053,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.857
test,BraTS20_Training_006_slice_054,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.857
test,BraTS20_Training_006_slice_055,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.857
test,BraTS20_Training_006_slice_056,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.857
test,BraTS20_Training_006_slice_057,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.857
test,BraTS20_Training_006_slice_058,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.857
test,BraTS20_Training_006_slice_059,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,4.857
test,BraTS20_Training_006_slice_060,2,0,0,0,2,0.0,0.0,0.0,0.0,0.0,4.857
test,BraTS20_Training_006_slice_061,3,0,0,0,3,0.0,0.0,0.0,0.0,0.0,6.329
test,BraTS20_Training_006_slice_062,1,3,0,3,1,0.0,0.0,0.0,0.0,0.318541,6.329
test,BraTS20_Training_006_slice_063,2,3,1,2,1,0.333333,0.5,0.4,0.503735,0.335786,6.329
test,BraTS20_Training_006_slice_064,3,1,1,0,2,1.0,0.333333,0.5,0.632445,0.578332,6.329
