threshold,n_images,n_pos_images,n_pred,tp,fp,fn,precision,recall,f1,mean_iou_tp,ap50_thr,ap50_95_thr,map_global_50,map_global_50_95
0.05000,5890,2599,8051,2719,5332,1219,0.337722,0.690452,0.453582,0.718072,0.633867,0.265395,0.651772,0.271413
0.10000,5890,2599,5215,2580,2635,1358,0.494727,0.655155,0.563750,0.721814,0.617739,0.260200,0.651772,0.271413
0.15000,5890,2599,4148,2504,1644,1434,0.603664,0.635856,0.619342,0.723713,0.607046,0.255818,0.651772,0.271413
0.20000,5890,2599,3587,2447,1140,1491,0.682186,0.621381,0.650365,0.723850,0.600654,0.252119,0.651772,0.271413
0.25000,5890,2599,3189,2397,792,1541,0.751646,0.608685,0.672653,0.725285,0.586410,0.248318,0.651772,0.271413
0.30000,5890,2599,2901,2328,573,1610,0.802482,0.591163,0.680801,0.726878,0.578741,0.243470,0.651772,0.271413
0.35000,5890,2599,2709,2272,437,1666,0.838686,0.576943,0.683617,0.727754,0.562526,0.239100,0.651772,0.271413
0.40000,5890,2599,2566,2225,341,1713,0.867108,0.565008,0.684194,0.728221,0.554071,0.235402,0.651772,0.271413
0.45000,5890,2599,2406,2151,255,1787,0.894015,0.546216,0.678121,0.729283,0.536579,0.229455,0.651772,0.271413
0.50000,5890,2599,2265,2078,187,1860,0.917439,0.527679,0.669998,0.730233,0.518599,0.223023,0.651772,0.271413
