threshold,n_images,n_pos_images,tp,fp,fn,precision,recall,f1,mean_iou_tp,ap50_thr,ap50_95_thr,map_global_50,map_global_50_95,n_pred
0.05,5890,2599,2719,5332,1219,0.3377220221090548,0.6904520060944642,0.4535824505796981,0.7180719928367861,0.6338672587777129,0.265395064624303,0.6517717713803644,0.2714130316031082,8051
0.1,5890,2599,2580,2635,1358,0.4947267497603068,0.6551549009649569,0.5637495902982629,0.7218138112827664,0.6177389940412918,0.26019962358629645,0.6517717713803644,0.2714130316031082,5215
0.15,5890,2599,2504,1644,1434,0.6036644165863067,0.6358557643473844,0.6193420727182785,0.7237131910874152,0.6070462937402253,0.2558177242719448,0.6517717713803644,0.2714130316031082,4148
0.2,5890,2599,2447,1140,1491,0.6821856704767215,0.6213814118842051,0.6503654485049833,0.7238498136722105,0.6006543193713273,0.25211877987563314,0.6517717713803644,0.2714130316031082,3587
0.25,5890,2599,2397,792,1541,0.7516462841015993,0.6086846114779075,0.6726532903044758,0.7252850679698085,0.5864095440005311,0.24831833180851573,0.6517717713803644,0.2714130316031082,3189
0.3,5890,2599,2328,573,1610,0.8024819027921406,0.5911630269172169,0.6808012867378271,0.7268778498373087,0.5787412252756629,0.24346977179630264,0.6517717713803644,0.2714130316031082,2901
0.35,5890,2599,2272,437,1666,0.8386858619416759,0.5769426104621636,0.6836166691740635,0.7277538721027142,0.5625255119682538,0.23909950879872732,0.6517717713803644,0.2714130316031082,2709
0.4,5890,2599,2225,341,1713,0.8671083398285269,0.5650076180802438,0.6841943419434195,0.7282211485719906,0.5540706916610794,0.23540183020442132,0.6517717713803644,0.2714130316031082,2566
0.45,5890,2599,2151,255,1787,0.8940149625935162,0.5462163534789233,0.6781210592686001,0.7292832749443419,0.5365789597577387,0.22945530943683173,0.6517717713803644,0.2714130316031082,2406
0.5,5890,2599,2078,187,1860,0.917439293598234,0.5276790248857288,0.6699983878768339,0.7302330924162578,0.5185988586727935,0.2230231881528945,0.6517717713803644,0.2714130316031082,2265
